model,size,size_value,precision,recall,f1,data_size,data_size_value
bert_ner,1k,1000,0.345879475507847,0.4228054148326551,0.3804932735426009,1k,1000
bert_ner,2.5k,2500,0.3704861554166135,0.48226891454198156,0.41905105538517046,2.5k,2500
bert_ner,5k,5000,0.45573135835717893,0.4497134789469313,0.45270242026501695,5k,5000
bert_ner,full,52500,0.5502406159769009,0.4747944522880159,0.5097409834603897,full,52500
bilstm_crf,1k,1000,0.36702508960573477,0.0425213852670044,0.07621315867817803,1k,1000
bilstm_crf,2.5k,2500,0.42204878048780486,0.1796362428369737,0.2520097867878364,2.5k,2500
bilstm_crf,5k,5000,0.5352988909926968,0.16435512000664396,0.25149320116914475,5k,5000
bilstm_crf,full,52500,0.606214607231015,0.346731999003405,0.44114539306847,full,52500
