model,metric,mean,std,mean_std,n_seeds,values
bert_ner,precision,0.5310027540455234,0.016836309131386996,0.5310 ± 0.0168,3,"[0.5109628217349858, 0.5298875151064423, 0.5521579252951423]"
bert_ner,recall,0.4789746145115301,0.0075586778864620355,0.4790 ± 0.0076,3,"[0.4896603272153476, 0.47338260941782245, 0.47388090690142015]"
bert_ner,f1,0.5033874002306468,0.0046995457827642044,0.5034 ± 0.0047,3,"[0.5000848176420696, 0.500043863496798, 0.5100335195530725]"
bilstm_crf,precision,0.6151717886389338,0.007087449046405886,0.6152 ± 0.0071,3,"[0.606214607231015, 0.6235458352722196, 0.6157549234135667]"
bilstm_crf,recall,0.3437145309082856,0.007141083542829654,0.3437 ± 0.0071,3,"[0.346731999003405, 0.33385931401046426, 0.35055227971098746]"
bilstm_crf,f1,0.4409277630458164,0.004854284017264463,0.4409 ± 0.0049,3,"[0.44114539306847, 0.434876676763306, 0.44676121930567314]"
dapt_bert,precision,0.5300428884233636,0.01712611566622321,0.5300 ± 0.0171,3,"[0.5512237593112121, 0.5296251511487303, 0.5092797548101481]"
dapt_bert,recall,0.4809678044459209,0.01119770635236905,0.4810 ± 0.0112,3,"[0.4732165102566232, 0.47288431193422475, 0.4968025911469147]"
dapt_bert,f1,0.5039543199369886,0.00398174120050961,0.5040 ± 0.0040,3,"[0.5092501564036107, 0.4996489996489997, 0.5029638037583555]"
